3.0,138.884,4.101002615466667
2.9,151.08,4.907797000827587
2.8,179.056,6.879579556571429
2.7,201.626,9.350945511703705
2.6,230.97,12.638579051692307
2.5,307.566,22.494988333440006
2.4,567.55,77.341593594
2.3,1371.706,27.979966185043526
2.2,1963.272,3.351992366545495
2.1,2177.022,0.7513934316191645
2.0,2276.35,0.4122051000000909
1.9,2346.212,0.18682001178946933
1.8,2391.948,0.10943762133353287
1.7,2425.098,0.06919491670609397
1.6,2448.87,0.042927775000222025
1.5,2466.818,0.02668770026639104
1.4,2478.66,0.016730400000033636
1.3,2486.988,0.010555032615764784
1.2,2492.604,0.005630394667076568
1.1,2496.18,0.0030107636367055503
1.0,2498.184,0.0016248575996607542
