3.0,135.486,3.744499621866667
2.9,154.686,5.285486772413793
2.8,167.834,6.0899348977142855
2.7,190.528,8.543074123851852
2.6,213.796,11.319061356307692
2.5,310.752,22.98668886016
2.4,560.216,75.27067039733333
2.3,1199.232,271.3657187033043
2.2,1950.428,4.200539784727194
2.1,2156.23,1.245904590476127
2.0,2277.158,0.37532300720009953
1.9,2345.826,0.18874057347366685
1.8,2391.832,0.11158839466671149
1.7,2424.924,0.06833181741176282
1.6,2448.59,0.04479797499976121
1.5,2465.754,0.027603062399973472
1.4,2478.502,0.01810742742860956
1.3,2487.114,0.00921446276914615
1.2,2492.452,0.005635898666145901
1.1,2495.958,0.0031920858181335708
1.0,2498.134,0.001626417599990964
